V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(4)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(4)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(5)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(4)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(4)
V. Kampfpanzer [Schwere Ruestung]  || Schadensreduktion(3)
Papp-E.O.D.-Anzug [Schwere Ruestung]  || Reflect Dmg(4)
Papp-E.O.D.-Anzug [Schwere Ruestung]  || Reflect Dmg(5)
Papp-E.O.D.-Anzug [Schwere Ruestung]  || Reflect Dmg(4)
Papp-E.O.D.-Anzug [Schwere Ruestung]  || Reflect Dmg(3)
