DummyName [DummyType]  || DummyAttribut1_2(32)
DummyName [DummyType]  || DummyAttribut1_2(57)
DummyName [DummyType]  || DummyAttribut2_2(89)
DummyName [DummyType]  || DummyAttribut1_1(53)
DummyName [DummyType]  || DummyAttribut2_1(54)
DummyName [DummyType]  || DummyAttribut2_1(62)
DummyName [DummyType]  || DummyAttribut1_2(80)
DummyName [DummyType]  || DummyAttribut2_2(85)
DummyName [DummyType]  || DummyAttribut2_2(44)
DummyName [DummyType]  || DummyAttribut1_2(61)
DummyName [DummyType]  || DummyAttribut1_2(93)
DummyName [DummyType]  || DummyAttribut2_1(12)
DummyName [DummyType]  || DummyAttribut2_2(99)
DummyName [DummyType]  || DummyAttribut1_1(22)
DummyName [DummyType]  || DummyAttribut1_2(26)
DummyName [DummyType]  || DummyAttribut2_1(24)
DummyName [DummyType]  || DummyAttribut1_1(18)
DummyName [DummyType]  || DummyAttribut2_1(40)
DummyName [DummyType]  || DummyAttribut2_2(28) : 1
DummyName [DummyType]  || DummyAttribut1_1(41) : 1
DummyName [DummyType]  || DummyAttribut2_2(48) : 1
DummyName [DummyType]  || DummyAttribut2_2(77) : 1
DummyName [DummyType]  || DummyAttribut2_2(5) : 1
