Met [Potion]  || Alk(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Steinschleuder [Fernkampfwaffe]  || Physikalisch(1)
Berserker [Potion]  || Berserker(2)
Berserker [Potion]  || Berserker(3)
Berserker [Potion]  || Berserker(2)
Katana [Einhandwaffe]  || Physikalisch(3)
Berserker [Potion]  || Berserker(1)
Keule [Einhandwaffe]  || Blitz(1)
Health [Potion]  || Health(2)
Morgenstern [Zweihandwaffe]  || Arkan(3)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Bier [Potion]  || Alk(1)
Bier [Potion]  || Alk(1)
Holzruestung [Armor]  || Def(1)
Bier [Potion]  || Alk(1)
Langbogen [Fernkampfwaffe]  || Physikalisch(2)
Bier [Potion]  || Alk(1)
Lederlappen [Armor]  || Def(1)
Armbrust [Fernkampfwaffe]  || Feuer(2)
Lederlappen [Armor]  || Def(1)
Langbogen [Fernkampfwaffe]  || Physikalisch(2)
AbgetrennterArm [Einhandwaffe]  || Physikalisch(1)
AbgetrennterArm [Einhandwaffe]  || Physikalisch(2)
Steinschleuder [Fernkampfwaffe]  || Arkan(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Met [Potion]  || Alk(1)
Health [Potion]  || Health(2)
Morgenstern [Zweihandwaffe]  || Gift(3)
Health [Potion]  || Health(2)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Floete [Einhandwaffe]  || Physikalisch(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Elbenbogen [Fernkampfwaffe]  || Frost(2)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
