Bier [Potion]  || Alk(1)
Met [Potion]  || Alk(1)
Kriegshammer [Zweihandwaffe]  || Gift(2)
Berserker [Potion]  || Berserker(2)
Armbrust [Fernkampfwaffe]  || Blitz(2)
Holzruestung [Armor]  || Def(1)
Knochen [Einhandwaffe]  || Blitz(2)
Bier [Potion]  || Alk(1)
Kriegshammer [Zweihandwaffe]  || Arkan(2)
Lederlappen [Armor]  || Physikalisch(1)
DerHurenBasher [Zweihandwaffe]  || Frost(2)
AbgetrennterArm [Einhandwaffe]  || Physikalisch(1)
Lederlappen [Armor]  || Physikalisch(1)
Langbogen [Fernkampfwaffe]  || Physikalisch(1)
Holzruestung [Armor]  || Def(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Dagger [Einhandwaffe]  || Physikalisch(1)
Langbogen [Fernkampfwaffe]  || Physikalisch(2)
Dagger [Einhandwaffe]  || Blitz(1)
Steinschleuder [Fernkampfwaffe]  || Physikalisch(1)
Morgenstern [Zweihandwaffe]  || Arkan(3)
Morgenstern [Zweihandwaffe]  || Arkan(3)
Bier [Potion]  || Alk(1)
Met [Potion]  || Alk(1)
