Schwert [Einhandwaffe]  || Blitz(2)
Langbogen [Fernkampfwaffe]  || Physikalisch(2)
Met [Potion]  || Alk(1)
Met [Potion]  || Alk(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Morgenstern [Zweihandwaffe]  || Blitz(3)
Langbogen [Fernkampfwaffe]  || Physikalisch(2)
Unsichtbarkeit [Potion]  || Unsichtbarkeit(3)
Health [Potion]  || Health(2)
Elbenbogen [Fernkampfwaffe]  || Blitz(2)
Knochen [Einhandwaffe]  || Feuer(1)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Health [Potion]  || Health(2)
Dicker Holzstab [Zweihandwaffe]  || Physikalisch(1)
Met [Potion]  || Alk(1)
Saebel [Einhandwaffe]  || Physikalisch(2)
Swiftness [Potion]  || Swiftness(2)
ZweischneidigeAxt [Zweihandwaffe]  || Feuer(3)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Knochen [Einhandwaffe]  || Blitz(1)
Bier [Potion]  || Alk(1)
Met [Potion]  || Alk(1)
Bier [Potion]  || Alk(1)
Steinschleuder [Fernkampfwaffe]  || Physikalisch(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Bier [Potion]  || Alk(1)
Health [Potion]  || Health(2)
Langbogen [Fernkampfwaffe]  || Physikalisch(2)
DeepsHelm [Armor]  || Blitz(2)
Saebel [Einhandwaffe]  || Arkan(2)
DerHurenBasher [Zweihandwaffe]  || Blitz(2)
Langbogen [Fernkampfwaffe]  || Blitz(1)
Lederlappen [Armor]  || Physikalisch(1)
DerHurenBasher [Zweihandwaffe]  || Blitz(3)
Elbenbogen [Fernkampfwaffe]  || Feuer(3)
Unsichtbarkeit [Potion]  || Unsichtbarkeit(2)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Steinschleuder [Fernkampfwaffe]  || Blitz(2)
Bier [Potion]  || Alk(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
DerHurenBasher [Zweihandwaffe]  || Arkan(2)
Health [Potion]  || Health(2)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Saebel [Einhandwaffe]  || Feuer(2)
Health [Potion]  || Health(2)
DeepsHelm [Armor]  || Def(2)
Dagger [Einhandwaffe]  || Frost(1)
Elbenbogen [Fernkampfwaffe]  || Frost(2)
Met [Potion]  || Alk(1)
Bier [Potion]  || Alk(1)
Schwert [Einhandwaffe]  || Physikalisch(2)
Steinschleuder [Fernkampfwaffe]  || Arkan(2)
HelmDesSchwarzenRitters [Armor]  || Physikalisch(3)
Met [Potion]  || Alk(1)
DeepsHelm [Armor]  || Feuer(2)
Lederlappen [Armor]  || Def(1)
Knochen [Einhandwaffe]  || Frost(2)
Kriegshammer [Zweihandwaffe]  || Blitz(2)
Ziemlich Nicer Bogen [Fernkampfwaffe]  || Feuer(2)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Morgenstern [Zweihandwaffe]  || Physikalisch(3)
AbgetrennterArm [Einhandwaffe]  || Physikalisch(2)
Swiftness [Potion]  || Swiftness(2)
